Video 2 | Frame 503 | Violation Detected
Video 2 | Frame 504 | Violation Detected
Video 2 | Frame 505 | Violation Detected
Video 2 | Frame 506 | Violation Detected
Video 2 | Frame 507 | Violation Detected
Video 2 | Frame 508 | Violation Detected
Video 2 | Frame 509 | Violation Detected
Video 2 | Frame 510 | Violation Detected
Video 2 | Frame 511 | Violation Detected
Video 2 | Frame 512 | Violation Detected
Video 2 | Frame 513 | Violation Detected
Video 2 | Frame 514 | Violation Detected
Video 2 | Frame 515 | Violation Detected
Video 2 | Frame 516 | Violation Detected
Video 2 | Frame 517 | Violation Detected
Video 2 | Frame 518 | Violation Detected
Video 2 | Frame 519 | Violation Detected
Video 4 | Frame 6 | Violation Detected
